SignupYear,Gender,AgeGroup,Country,ServiceType,AdSpent,Clicks,Conversions,EmailOpens,EmailClicks,WebsiteVisits,SocialMediaEngagement,ReferralConversions,ContactedOwner,ScheduledMeeting,ReportsMonthly
2021,Female,18--20,US,SEO,500,50,5,100,10,200,50,3,1,0,0
2021,Male,21--25,UK,Content,300,30,3,90,9,150,40,2,0,0,0
2020,Female,26--30,CA,PPC,700,70,7,110,11,250,60,5,1,0,1
2022,Male,31--35,AU,Email,200,20,2,80,8,100,30,1,0,0,0
2021,Female,36--40,IN,SEO,400,40,4,120,12,180,45,4,0,0,1
2019,Male,41--45,DE,Content,600,60,6,130,13,220,55,6,0,1,1
2021,Female,46--50,FR,PPC,350,35,3,140,14,160,35,2,0,1,1
2021,Male,51--55,JP,Email,450,45,4,150,15,210,50,3,0,0,0
2022,Female,56--60,BR,SEO,250,25,2,160,16,140,30,1,0,1,1
2021,Male,18--20,CN,Content,550,55,5,170,17,230,60,4,1,0,0
2019,Female,21--25,US,PPC,650,65,6,180,18,190,40,5,1,0,0
2022,Male,26--30,UK,Email,300,30,3,190,19,120,20,1,0,0,0
2020,Female,31--35,CA,SEO,500,50,5,200,20,250,70,6,1,1,1
2021,Male,36--40,AU,Content,400,40,4,210,21,220,50,3,0,1,1
2019,Female,41--45,IN,PPC,550,55,5,220,22,270,80,4,1,1,0
2022,Male,46--50,DE,Email,450,45,4,230,23,150,30,2,0,0,1
2020,Female,51--55,FR,SEO,350,35,3,240,24,180,40,1,1,1,0
2021,Male,56--60,JP,Content,600,60,6,250,25,260,90,5,0,0,0
2019,Female,18--20,BR,PPC,700,70,7,260,26,170,45,2,0,0,0
2022,Male,21--25,CN,Email,250,25,2,270,27,200,55,3,0,1,0
2020,Female,26--30,US,SEO,300,30,3,280,28,140,35,1,0,1,0
2021,Male,31--35,UK,Content,500,50,5,290,29,210,60,4,0,0,1
2019,Female,36--40,CA,PPC,400,40,4,300,30,220,70,5,0,1,1
2022,Male,41--45,AU,Email,550,55,5,310,31,250,80,6,0,1,1
2020,Female,46--50,IN,SEO,450,45,4,320,32,180,45,2,1,0,0
2021,Male,51--55,DE,Content,350,35,3,330,33,270,90,3,1,1,1
2019,Female,56--60,FR,PPC,600,60,6,340,34,150,40,1,0,1,0
2022,Male,18--20,JP,Email,700,70,7,350,35,260,100,5,0,0,0
2020,Female,21--25,BR,SEO,250,25,2,360,36,220,50,2,1,0,1
2021,Male,26--30,CN,Content,550,55,5,370,37,200,60,3,0,1,0
2019,Female,31--35,US,PPC,650,65,6,380,38,250,70,4,0,0,1
2022,Male,36--40,UK,Email,300,30,3,390,39,270,80,5,1,0,0
2020,Female,41--45,CA,SEO,500,50,5,400,40,200,45,6,1,1,1
2021,Male,46--50,AU,Content,400,40,4,410,41,220,90,1,0,1,1
2019,Female,51--55,IN,PPC,550,55,5,420,42,150,30,2,0,0,0
2022,Male,56--60,DE,Email,450,45,4,430,43,170,55,3,1,1,1
2020,Female,18--20,FR,SEO,350,35,3,440,44,260,70,4,0,0,0
2021,Male,21--25,JP,Content,600,60,6,450,45,250,80,5,1,0,1
2019,Female,26--30,BR,PPC,700,70,7,460,46,270,90,6,0,0,1
2022,Male,31--35,CN,Email,250,25,2,470,47,180,100,1,1,0,1
2020,Female,36--40,US,SEO,300,30,3,480,48,150,50,2,0,1,1
2021,Male,41--45,UK,Content,500,50,5,490,49,220,60,3,0,0,0
2019,Female,46--50,CA,PPC,400,40,4,500,50,250,70,4,0,1,1
2022,Male,51--55,AU,Email,550,55,5,510,51,200,80,5,0,1,1
2020,Female,56--60,IN,SEO,450,45,4,520,52,270,90,6,0,1,0
2021,Male,18--20,DE,Content,350,35,3,530,53,150,40,2,0,0,1
2019,Female,21--25,FR,PPC,600,60,6,540,54,180,55,3,0,0,1
2022,Male,26--30,JP,Email,700,70,7,550,55,260,70,4,1,1,0
2020,Female,31--35,BR,SEO,250,25,2,560,56,200,80,5,0,1,0
2021,Male,36--40,CN,Content,550,55,5,570,57,220,90,6,0,1,0
2019,Female,41--45,US,PPC,650,65,6,580,58,170,100,1,0,1,1
2022,Male,46--50,UK,Email,300,30,3,590,59,140,50,2,0,0,0
2020,Female,51--55,CA,SEO,500,50,5,600,60,200,60,3,0,0,0
2021,Male,56--60,AU,Content,400,40,4,610,61,210,70,4,0,0,1
2019,Female,18--20,IN,PPC,550,55,5,620,62,250,80,5,1,1,0
2022,Male,21--25,DE,Email,450,45,4,630,63,180,90,6,1,0,0
2020,Female,26--30,FR,SEO,350,35,3,640,64,270,100,1,1,1,1
2021,Male,31--35,JP,Content,600,60,6,650,65,220,50,2,0,0,1
2019,Female,36--40,BR,PPC,700,70,7,660,66,250,60,3,0,0,0
2022,Male,41--45,CN,Email,250,25,2,670,67,170,70,4,0,0,0
2020,Female,46--50,US,SEO,300,30,3,680,68,180,80,5,1,1,1
2021,Male,51--55,UK,Content,500,50,5,690,69,150,90,6,1,1,0
2019,Female,56--60,CA,PPC,400,40,4,700,70,260,100,1,0,1,1
2022,Male,18--20,AU,Email,550,55,5,710,71,200,50,2,0,0,0
2020,Female,21--25,IN,SEO,450,45,4,720,72,220,60,3,0,1,1
2021,Male,26--30,DE,Content,350,35,3,730,73,270,70,4,1,0,1
2019,Female,31--35,FR,PPC,600,60,6,740,74,200,80,5,0,1,1
2022,Male,36--40,JP,Email,700,70,7,750,75,150,90,6,0,0,0
2020,Female,41--45,BR,SEO,250,25,2,760,76,180,100,1,0,1,1
2021,Male,46--50,CN,Content,550,55,5,770,77,250,50,2,0,0,1
2019,Female,51--55,US,PPC,650,65,6,780,78,220,60,3,0,0,1
2022,Male,56--60,UK,Email,300,30,3,790,79,170,70,4,1,0,0
2020,Female,18--20,CA,SEO,500,50,5,800,80,140,80,5,1,0,0
2021,Male,21--25,AU,Content,400,40,4,810,81,200,90,6,1,1,1
2019,Female,26--30,IN,PPC,550,55,5,820,82,270,100,1,0,1,0
2022,Male,31--35,DE,Email,450,45,4,830,83,250,50,2,1,1,1
2020,Female,36--40,FR,SEO,350,35,3,840,84,150,60,3,1,0,0
2021,Male,41--45,JP,Content,600,60,6,850,85,170,70,4,0,0,0
2019,Female,46--50,BR,PPC,700,70,7,860,86,180,80,5,1,0,1
2022,Male,51--55,CN,Email,250,25,2,870,87,260,90,6,1,0,1
2020,Female,56--60,US,SEO,300,30,3,880,88,200,100,1,1,0,0
2021,Male,18--20,UK,Content,500,50,5,890,89,220,50,2,1,1,0
2019,Female,21--25,CA,PPC,400,40,4,900,90,170,60,3,1,1,0
2022,Male,26--30,AU,Email,550,55,5,910,91,140,70,4,0,1,0
2020,Female,31--35,IN,SEO,450,45,4,920,92,200,80,5,0,0,0
2021,Male,36--40,DE,Content,350,35,3,930,93,220,90,6,0,0,0
2019,Female,41--45,FR,PPC,600,60,6,940,94,150,100,1,0,1,1
2022,Male,46--50,JP,Email,700,70,7,950,95,260,50,2,0,1,1
2020,Female,51--55,BR,SEO,250,25,2,960,96,200,60,3,1,0,0
2021,Male,56--60,CN,Content,550,55,5,970,97,270,70,4,0,1,0
2019,Female,18--20,US,PPC,650,65,6,980,98,250,80,5,1,1,0
2022,Male,21--25,UK,Email,300,30,3,990,99,150,90,6,0,1,0
2020,Female,26--30,CA,SEO,500,50,5,1000,100,170,100,1,1,1,1
2021,Male,31--35,AU,Content,400,40,4,1010,101,180,50,2,1,0,1
2019,Female,36--40,IN,PPC,550,55,5,1020,102,140,60,3,1,1,1
2022,Male,41--45,DE,Email,450,45,4,1030,103,220,70,4,0,1,0
2020,Female,46--50,FR,SEO,350,35,3,1040,104,270,80,5,1,1,0
2021,Male,51--55,JP,Content,600,60,6,1050,105,200,90,6,1,0,0
2019,Female,56--60,BR,PPC,700,70,7,1060,106,250,100,1,1,1,0
2022,Male,18--20,CN,Email,250,25,2,1070,107,200,50,2,1,1,1
2020,Female,21--25,US,SEO,300,30,3,1080,108,220,60,3,0,1,1
2021,Male,26--30,UK,Content,500,50,5,1090,109,250,70,4,1,0,0
2019,Female,31--35,CA,PPC,400,40,4,1100,110,180,80,5,1,0,0
2022,Male,36--40,AU,Email,550,55,5,1110,111,170,90,6,1,0,0
2020,Female,41--45,IN,SEO,450,45,4,1120,112,140,100,1,0,1,0
2021,Male,46--50,DE,Content,350,35,3,1130,113,200,50,2,0,0,0
2019,Female,51--55,FR,PPC,600,60,6,1140,114,220,60,3,1,1,0
2022,Male,56--60,JP,Email,700,70,7,1150,115,270,70,4,0,0,1
2020,Female,18--20,BR,SEO,250,25,2,1160,116,200,80,5,0,0,1
2021,Male,21--25,CN,Content,550,55,5,1170,117,150,90,6,0,1,1
2019,Female,26--30,US,PPC,650,65,6,1180,118,260,100,1,0,1,0
2022,Male,31--35,UK,Email,300,30,3,1190,119,180,50,2,1,0,0
2020,Female,36--40,CA,SEO,500,50,5,1200,120,170,60,3,1,0,0
2021,Male,41--45,AU,Content,400,40,4,1210,121,220,70,4,1,1,0
2019,Female,46--50,IN,PPC,550,55,5,1220,122,200,80,5,1,1,0
2022,Male,51--55,DE,Email,450,45,4,1230,123,270,90,6,1,1,0
2020,Female,56--60,FR,SEO,350,35,3,1240,124,200,100,1,1,1,1
2021,Male,18--20,JP,Content,600,60,6,1250,125,250,50,2,1,1,1
2019,Female,21--25,BR,PPC,700,70,7,1260,126,220,60,3,0,0,0
2022,Male,26--30,CN,Email,250,25,2,1270,127,270,70,4,1,1,1
2020,Female,31--35,US,SEO,300,30,3,1280,128,150,80,5,0,1,0
2021,Male,36--40,UK,Content,500,50,5,1290,129,180,90,6,0,1,1
2019,Female,41--45,CA,PPC,400,40,4,1300,130,260,100,1,1,1,0
2022,Male,46--50,AU,Email,550,55,5,1310,131,200,50,2,0,0,0
2020,Female,51--55,IN,SEO,450,45,4,1320,132,170,60,3,1,0,1
2021,Male,56--60,DE,Content,350,35,3,1330,133,220,70,4,0,0,1
2019,Female,18--20,FR,PPC,600,60,6,1340,134,200,80,5,1,0,1
2022,Male,21--25,JP,Email,700,70,7,1350,135,250,90,6,1,1,0
2019,Female,26--30,Canada,PPC,700,70,7,120,12,180,45,4,1,0,0
2020,Male,31--35,Germany,SEO,600,60,6,110,11,220,55,5,1,0,1
2018,Female,36--40,France,Content,400,40,4,80,8,130,30,2,0,1,1
2021,Male,41--45,Spain,PPC,800,80,8,130,13,240,60,6,1,0,0
2017,Female,46--50,Italy,SEO,550,55,5,90,9,170,35,3,0,1,0
2019,Male,51--55,Japan,Content,350,35,3,70,7,120,25,1,1,1,1
2020,Female,56--60,China,PPC,750,75,7,140,14,260,70,7,0,1,0
2018,Male,61--65,Australia,SEO,650,65,6,100,10,200,50,4,1,0,0
2021,Female,66--70,Russia,Content,450,45,4,85,8,140,30,2,1,1,1
2017,Male,71--75,Brazil,PPC,850,85,8,150,15,280,75,8,1,1,1
2019,Female,76--80,India,SEO,700,70,7,120,12,220,60,6,0,0,0
2020,Male,81--85,Mexico,Content,500,50,5,90,9,160,35,3,0,0,1
2018,Female,86--90,Argentina,PPC,900,90,9,160,16,300,80,9,1,1,1
2021,Male,91--95,South Africa,SEO,750,75,7,130,13,240,65,7,1,0,1
2017,Female,96--100,Chile,Content,550,55,5,100,10,170,40,3,0,0,1
2019,Male,101--105,Peru,PPC,950,95,9,170,17,320,85,9,1,1,0
2020,Female,106--110,Colombia,SEO,800,80,8,140,14,260,70,8,1,1,0
2018,Male,111--115,Venezuela,Content,600,60,6,110,11,180,45,4,1,1,1
2021,Female,116--120,Ecuador,PPC,1000,100,10,180,18,340,90,10,1,0,1
2017,Male,121--125,Uruguay,SEO,850,85,8,150,15,280,75,8,1,0,0
2019,Female,126--130,Paraguay,Content,650,65,6,120,12,200,50,4,1,0,0
2020,Male,131--135,Bolivia,PPC,1050,105,10,190,19,360,95,10,1,1,1
2018,Female,136--140,Guatemala,SEO,900,90,9,160,16,300,80,9,1,1,0
2021,Male,141--145,Honduras,Content,700,70,7,130,13,240,65,7,1,0,0
2017,Female,146--150,Nicaragua,PPC,1150,115,11,200,20,380,100,11,0,1,0
2019,Male,151--155,El Salvador,SEO,950,95,9,170,17,320,85,9,0,1,1
2020,Female,156--160,Costa Rica,Content,750,75,7,140,14,260,70,8,1,1,1
2018,Male,161--165,Panama,PPC,1200,120,12,210,21,400,110,12,0,0,0
2021,Female,166--170,Portugal,SEO,1000,100,10,180,18,340,90,10,1,0,0
2017,Male,171--175,Sweden,Content,850,85,8,150,15,280,75,8,0,0,1
2019,Female,176--180,Norway,PPC,1250,125,12,220,22,420,115,13,1,1,0
2020,Male,181--185,Denmark,SEO,1050,105,10,190,19,360,95,11,1,1,1
2018,Female,186--190,Finland,Content,900,90,9,160,16,300,80,9,1,1,0
2021,Male,191--195,Poland,PPC,1300,130,13,230,23,440,120,14,1,0,0
2017,Female,196--200,Ukraine,SEO,1150,115,11,200,20,380,100,11,0,0,0
2019,Male,201--205,Romania,Content,950,95,9,170,17,320,85,9,0,1,1
2020,Female,206--210,Bulgaria,PPC,1350,135,13,240,24,460,125,15,1,1,0
2018,Male,211--215,Hungary,SEO,1150,115,11,200,20,380,100,11,0,0,0
2021,Female,216--220,Greece,Content,1000,100,10,180,18,340,90,10,1,1,0
2017,Male,221--225,Austria,PPC,1400,140,14,250,25,480,130,15,1,1,1
2019,Female,226--230,Czech Republic,SEO,1250,125,12,220,22,420,115,13,1,0,1
2020,Male,231--235,Slovakia,Content,1050,105,10,190,19,360,95,11,1,0,0
2018,Female,236--240,Ireland,PPC,950,95,9,170,17,320,85,9,0,0,0
2021,Male,241--245,Belgium,SEO,1300,130,13,230,23,440,120,14,0,1,0
2017,Female,246--250,Switzerland,Content,1150,115,11,200,20,380,100,11,1,1,1
2018,Female,256--260,Japan,SEO,950,95,9,170,17,320,85,9,1,0,0
2019,Male,261--265,China,Content,1300,130,13,230,23,440,120,14,0,1,1
2020,Female,266--270,India,PPC,1450,145,14,260,26,500,135,16,1,0,1
2021,Male,271--275,USA,SEO,1500,150,15,270,27,520,140,16,0,1,1
2017,Female,276--280,Canada,Content,1350,135,13,240,24,460,125,15,1,1,0
2018,Male,281--285,Australia,PPC,1600,160,16,290,29,560,150,18,0,1,0
2019,Female,286--290,UK,SEO,1550,155,15,280,28,540,145,17,0,0,0
2020,Male,291--295,Germany,Content,1400,140,14,250,25,480,130,15,1,0,1
2021,Female,296--300,France,PPC,1650,165,16,300,30,580,155,19,0,0,1
2017,Male,301--305,Spain,SEO,1450,145,14,260,26,500,135,16,0,0,0
2018,Female,306--310,Italy,Content,1250,125,12,220,22,420,115,13,1,0,1
2019,Male,311--315,Japan,PPC,1700,170,17,310,31,600,160,20,0,0,1
2020,Female,316--320,China,SEO,1600,160,16,290,29,560,150,18,0,1,1
2021,Male,321--325,India,Content,1450,145,14,260,26,500,135,16,0,1,0
2017,Female,326--330,USA,PPC,1750,175,17,320,32,620,165,21,0,1,1
2018,Male,331--335,Canada,SEO,1500,150,15,270,27,520,140,16,0,0,1
2019,Female,336--340,Australia,Content,1300,130,13,230,23,440,120,14,1,0,0
2020,Male,341--345,UK,PPC,1650,165,16,300,30,580,155,19,0,1,1
2021,Female,346--350,Germany,SEO,1550,155,15,280,28,540,145,17,0,0,1
2017,Male,351--355,France,Content,1400,140,14,250,25,480,130,15,1,1,1
2018,Female,356--360,Spain,PPC,1850,185,18,330,33,640,170,22,1,0,0
2019,Male,361--365,Italy,SEO,1650,165,16,300,30,580,155,19,1,1,0
2020,Female,366--370,Japan,Content,1500,150,15,270,27,520,140,16,0,0,0
2021,Male,371--375,China,PPC,1750,175,17,320,32,620,165,21,0,0,1
2017,Female,376--380,India,SEO,1600,160,16,290,29,560,150,18,0,0,0
2018,Male,381--385,USA,Content,1450,145,14,260,26,500,135,16,0,1,0
2019,Female,386--390,Canada,PPC,1900,190,19,340,34,660,175,23,0,1,1
2020,Male,391--395,Australia,SEO,1700,170,17,310,31,600,160,20,0,1,1
2021,Female,396--400,UK,Content,1550,155,15,280,28,540,145,17,1,1,1
2017,Male,401--405,Germany,PPC,1950,195,19,350,35,680,180,24,0,0,1
2018,Female,406--410,France,SEO,1700,170,17,320,32,620,165,21,1,1,0
2019,Male,411--415,Spain,Content,1500,150,15,270,27,520,140,16,0,0,1
2020,Female,416--420,Italy,PPC,1850,185,18,330,33,640,170,22,1,1,1
2021,Male,421--425,Japan,SEO,1750,175,17,320,32,620,165,21,0,0,0
2017,Female,426--430,China,Content,1600,160,16,290,29,560,150,18,1,1,0
2018,Male,431--435,India,PPC,2050,205,20,370,37,720,190,25,1,1,0
2019,Female,436--440,USA,SEO,1800,180,18,330,33,640,170,22,0,0,0
2020,Male,441--445,Canada,Content,1550,155,15,280,28,540,145,17,0,0,1
2021,Female,446--450,Australia,PPC,1950,195,19,350,35,680,180,24,1,0,0
2017,Male,451--455,UK,SEO,1900,190,19,340,34,660,175,23,0,0,0
2018,Female,456--460,Germany,Content,1700,170,17,320,32,620,165,21,1,1,1
2019,Male,461--465,France,PPC,2150,215,21,390,39,760,200,26,0,1,0
2020,Female,466--470,Spain,SEO,1850,185,18,330,33,640,170,22,1,1,1
2021,Male,471--475,Italy,Content,1600,160,16,290,29,560,150,18,0,1,0
2017,Female,476--480,Japan,PPC,2250,225,22,410,41,800,210,27,1,1,0
2018,Male,481--485,China,SEO,1950,195,19,350,35,680,180,24,0,1,1
2019,Female,486--490,India,Content,1750,175,17,320,32,620,165,21,0,1,1
